dataset,p_feat,algorithm,K,nmi,accuracy,f1,ari,dbi,modularity,elapsed_seconds
acm,0.25,Leiden,11,0.5606,0.7332,0.6282,0.5915,0.5834,0.7498,275.88
citeseer,0.25,Leiden,12,0.4013,0.5954,0.4926,0.3862,0.4912,0.8150,379.78
cora,0.25,Leiden,7,0.5923,0.7411,0.7184,0.5561,0.3636,0.7493,121.98
amac,0.25,Louvain,8,0.4266,0.6110,0.4905,0.3958,0.5401,0.5455,1501.35
amap,0.25,Leiden,7,0.6520,0.6089,0.6330,0.4909,0.5248,0.6613,610.61
pubmed,0.25,Louvain,3,0.1855,0.6166,0.6025,0.1962,0.5475,0.4500,2949.72
