acm,Louvain,11,0.5945,0.8387,0.7671,0.6554,0.4599,0.7572,289.84
acm,Leiden,11,0.5822,0.8288,0.6279,0.6569,0.8681,0.7531,192.50
citeseer,Louvain,12,0.3600,0.5083,0.4596,0.3354,0.5125,0.8107,255.95
citeseer,Leiden,12,0.3519,0.4731,0.4485,0.2815,0.5302,0.8388,241.51
cora,Louvain,8,0.5690,0.6898,0.6775,0.5310,0.4901,0.7594,165.95
cora,Leiden,7,0.5983,0.7710,0.7387,0.6037,0.4590,0.7568,157.62

0.25 feature drop
acm,Louvain,11,0.5971,0.8344,0.7065,0.6605,0.5114,0.7569,551.50
acm,Leiden,11,0.5951,0.8340,0.6462,0.6746,0.5397,0.7520,193.43
citeseer,Louvain,12,0.3609,0.5290,0.4504,0.3365,0.5589,0.8049,392.79
citeseer,Leiden,12,0.3531,0.4905,0.4289,0.2888,0.5248,0.8232,407.10
cora,Louvain,8,0.5541,0.6876,0.6598,0.5206,0.4251,0.7550,404.38
cora,Leiden,7,0.5882,0.7389,0.7151,0.5610,0.3938,0.7544,405.12
