acm,0.25,Louvain,11,0.6273,0.8767,0.7181,0.7043,0.5289,0.6913,269.96
acm,0.25,Leiden,11,0.6141,0.8678,0.6717,0.6946,0.5249,0.6938,85.00
cora,0.25,Louvain,8,0.4940,0.6510,0.6228,0.4640,0.3104,0.7051,140.17
cora,0.25,Leiden,7,0.5111,0.6828,0.6705,0.4947,0.2264,0.7082,76.59
citeseer,0.25,Louvain,12,0.3206,0.4896,0.4281,0.2866,0.3669,0.7878,225.14
citeseer,0.25,Leiden,12,0.3430,0.5467,0.5143,0.3104,0.4721,0.7779,165.64
amac,0.25,Louvain,8,0.3352,0.5257,0.4102,0.3802,0.5985,0.5131,5209.41
amac,0.25,Leiden,4,0.2746,0.4883,0.3802,0.2894,0.3220,0.4406,1200.53
amap,0.25,Louvain,6,0.5545,0.5950,0.6267,0.3602,0.4043,0.5712,521.36
amap,0.25,Leiden,7,0.5642,0.5901,0.5830,0.4452,0.4682,0.6406,459.36


emaCentroids

acm,0.25,Louvain,11,0.4786,0.7174,0.6304,0.4507,0.4751,0.6862,84.90
acm,0.25,Leiden,11,0.6559,0.8922,0.7369,0.7331,0.5760,0.6746,75.79
citeseer,0.25,Louvain,12,0.4290,0.6844,0.5466,0.4445,0.7292,0.7418,99.38
citeseer,0.25,Leiden,12,0.3963,0.5981,0.5200,0.3721,0.5298,0.7283,89.59
cora,0.25,Louvain,8,0.4751,0.6134,0.6074,0.4087,0.6414,0.6452,66.21
cora,0.25,Leiden,7,0.4751,0.6603,0.6511,0.4431,0.3251,0.6537,59.49
amac,0.25,Louvain,8,0.3303,0.5209,0.4010,0.3710,0.9497,0.5135,1598.66
amac,0.25,Leiden,4,0.2209,0.4591,0.3793,0.2350,0.6369,0.4787,2757.70
amap,0.25,Louvain,6,0.5069,0.5750,0.6091,0.3739,0.2214,0.5671,576.04
amap,0.25,Leiden,7,0.5013,0.5631,0.5589,0.3757,0.4711,0.5548,512.11

2-hop

acm,0.25,Louvain,11,0.6391,0.8866,0.7769,0.7117,0.4901,0.6876,110.87
acm,0.25,Leiden,11,0.6540,0.8909,0.7308,0.7294,0.4630,0.6768,75.07
citeseer,0.25,Louvain,12,0.3501,0.5843,0.4414,0.3211,1.0591,0.7196,99.81
citeseer,0.25,Leiden,12,0.3955,0.6534,0.5137,0.3907,0.9234,0.7433,139.64
cora,0.25,Louvain,8,0.4724,0.6193,0.6030,0.4445,0.4580,0.6488,68.90
cora,0.25,Leiden,7,0.5270,0.6773,0.6901,0.4239,0.3893,0.7149,60.22
amac,0.25,Louvain,8,0.3341,0.5428,0.3972,0.3795,0.9060,0.5187,1650.39
amac,0.25,Leiden,4,0.2442,0.4935,0.3523,0.2904,0.6305,0.4967,2882.38
amap,0.25,Louvain,6,0.4924,0.5565,0.5928,0.3445,0.5405,0.5357,1295.98
amap,0.25,Leiden,7,0.4996,0.5329,0.5746,0.3496,0.7077,0.5553,514.93
