acm,Louvain,11,0.5709,0.8307,29.97
acm,Leiden,11,0.5441,0.7402,29.97
cora,Louvain,8,0.5762,0.7027,29.97
cora,Leiden,7,0.5936,0.7397,29.97
citeseer,Louvain,12,0.3673,0.5113,29.97
citeseer,Leiden,12,0.3638,0.4947,29.97
amac,Louvain,8,0.3509,0.5177,29.97
amac,Leiden,4,0.2265,0.4522,29.97
amap,Louvain,6,0.6190,0.6165,29.97
amap,Leiden,7,0.6473,0.6226,29.97
