acm,Louvain,11,0.5963,0.8298,0.6775,0.6554,0.9668,0.7577,167.61
acm,Leiden,11,0.6054,0.8331,0.7276,0.6697,0.7809,0.7518,174.97
amac,Louvain,8,0.4342,0.6088,0.4854,0.3986,0.7371,0.5329,3994.29
citeseer,Louvain,12,0.3847,0.5365,0.4626,0.3632,0.9968,0.8031,384.78
citeseer,Leiden,12,0.4071,0.5873,0.5239,0.3696,0.8445,0.8280,304.35
cora,Louvain,8,0.5740,0.7038,0.6772,0.5373,0.8017,0.7536,229.64
cora,Leiden,7,0.5847,0.7677,0.7413,0.5723,0.7519,0.7504,221.16
film,Louvain,2,0.0050,0.2653,0.3193,0.0083,0.5710,0.2563,1692.83
film,Leiden,2,0.0051,0.2653,0.3194,0.0080,0.5783,0.2565,1661.48
